iter	RMSE
0	0.4979259617
1	0.4949923793
2	0.4933599643
3	0.4927570597
4	0.491355416
5	0.4897206027
6	0.488928756
7	0.4869916299
8	0.4865914401
9	0.4850797031
10	0.4833534073
11	0.4822216646
12	0.4815051322
13	0.4811514896
14	0.4800424613
15	0.4798374389
16	0.4785238258
17	0.4779724555
18	0.477826019
19	0.477174987
20	0.4768188519
21	0.4767394007
22	0.4765702527
23	0.476217122
24	0.4760404096
25	0.4752893058
26	0.4738969196
27	0.4735049571
28	0.4733353411
29	0.4716628258
30	0.4714824572
31	0.47069308
32	0.4702266933
33	0.4690893171
34	0.4683968244
35	0.4680390506
36	0.4672936223
37	0.4666155146
38	0.4662450856
39	0.4651904283
40	0.4648174927
41	0.463271538
42	0.4625988317
43	0.4620604075
44	0.4618036292
45	0.4614863868
46	0.4610956963
47	0.4604553918
48	0.4602464486
49	0.4595265741
50	0.4591036116
51	0.4589748775
52	0.4582434323
53	0.4579406799
54	0.4577745101
55	0.4568656216
56	0.4566557582
57	0.4559804266
58	0.4553906237
59	0.4545166515
60	0.4541396945
61	0.4539731933
62	0.4532443969
63	0.4526829396
64	0.4524210165
65	0.4522088342
66	0.4518722689
67	0.4514935219
68	0.45143443
69	0.4511906372
70	0.4504348311
71	0.4501943102
72	0.4499213327
73	0.4494493852
74	0.4484358049
75	0.4477895521
76	0.4474911206
77	0.4467816997
78	0.4454393472
79	0.4451328267
80	0.4447992031
81	0.4433519336
82	0.4430094776
83	0.4422672946
84	0.4417566548
85	0.4415742025
86	0.4410893087
87	0.4404123021
88	0.4402579421
89	0.4399794146
90	0.4389269341
91	0.4383564011
92	0.4376382638
93	0.4371466555
94	0.436371083
95	0.4359436187
96	0.435613633
97	0.435200709
98	0.4347817635
99	0.4343988188
100	0.4339076203
101	0.4335089703
102	0.4325259731
103	0.4314331917
104	0.4311857676
105	0.4307179242
106	0.4303281705
107	0.4299652908
108	0.4294707945
109	0.4290355694
110	0.4287985811
111	0.4283287822
112	0.4276621007
113	0.4269306082
114	0.4260556605
115	0.4254675792
116	0.4247914913
117	0.4243964047
118	0.4239457703
119	0.4234372275
120	0.4225866057
121	0.4221158977
122	0.4212968421
123	0.4210431289
124	0.4206027902
125	0.4202892967
126	0.4195830085
127	0.4189642034
128	0.4186368808
129	0.4184218812
130	0.4177938654
131	0.4169979669
132	0.4165821375
133	0.4158113213
134	0.4154887004
135	0.4152443545
136	0.4146665379
137	0.4139403855
138	0.4136414807
139	0.4129640487
140	0.4122340179
141	0.4119064279
142	0.4116015954
143	0.4110949599
144	0.4103823957
145	0.410086763
146	0.4093191776
147	0.4087294142
148	0.4082911449
149	0.4080363261
150	0.4077896548
151	0.407201944
152	0.4069547575
153	0.4062795501
154	0.4060262809
155	0.4057864399
156	0.4051372213
157	0.4044189386
158	0.4042017146
159	0.4039206035
160	0.4034741145
161	0.4032056056
162	0.4027835759
163	0.4025492096
164	0.4023242942
165	0.4016430283
166	0.4014057866
167	0.4010015326
168	0.4005165964
169	0.4002989056
170	0.4000899855
171	0.399446047
172	0.399038294
173	0.3984571208
174	0.3982533801
175	0.398028572
176	0.3974238848
177	0.3972283524
178	0.3967024276
179	0.3964773591
180	0.3962238468
181	0.3960357969
182	0.3954182284
183	0.3951998903
184	0.3949940163
185	0.3947492251
186	0.3945652179
187	0.3942346862
188	0.3939986203
189	0.3937082703
190	0.3935318114
191	0.3931463529
192	0.3929739624
193	0.3925429718
194	0.3919716889
195	0.3917151812
196	0.3914951745
197	0.3913283127
198	0.3907890801
199	0.3904236318
200	0.3902618396
201	0.3900647682
202	0.3899089098
203	0.3895546598
204	0.388954312
205	0.3887628949
206	0.3885187388
207	0.3883642492
208	0.3881562119
209	0.3880077037
210	0.3878653231
211	0.387598612
212	0.3872643621
213	0.3869138742
214	0.3867720202
215	0.3864576676
216	0.3861536636
217	0.3853878707
218	0.3851951121
219	0.3850573969
220	0.3844865638
221	0.3842994361
222	0.3841077791
223	0.3835990367
224	0.383464351
225	0.3830058015
226	0.3828195189
227	0.3826420562
228	0.3825126528
229	0.3819633815
230	0.3817200631
231	0.3815468574
232	0.3813101147
233	0.3810171509
234	0.3807364269
235	0.3805640304
236	0.3804354564
237	0.3801070911
238	0.3793840374
239	0.3792132131
240	0.3790882631
241	0.3788595172
242	0.3786971683
243	0.3781704879
244	0.3780120901
245	0.3775292979
246	0.3772128597
247	0.3769742272
248	0.3767617077
249	0.3766381367
250	0.3764846432
251	0.3759821649
252	0.3752746502
253	0.3750633259
254	0.3743910013
255	0.3737573101
256	0.373459833
257	0.3731478118
258	0.3726863671
259	0.372535265
260	0.3724126149
261	0.3718086607
262	0.3715011339
263	0.3708441344
264	0.3706338433
265	0.3700670303
266	0.369203823
267	0.3689727583
268	0.3686767037
269	0.3682833266
270	0.3680545965
271	0.3678314292
272	0.3673072115
273	0.366866116
274	0.3666508637
275	0.366150175
276	0.3658611476
277	0.3654403769
278	0.3652254566
279	0.3648826704
280	0.3647184705
281	0.3645148601
282	0.3641093991
283	0.3638929699
284	0.3636110897
285	0.3627843488
286	0.3624560824
287	0.3622591501
288	0.361801113
289	0.3613694455
290	0.3609335557
291	0.3605117844
292	0.3602418813
293	0.3594821624
294	0.3592696743
295	0.3588654735
296	0.3584468476
297	0.3579829716
298	0.3575744395
299	0.3573009369
300	0.3565863086
301	0.3563118442
302	0.3560972405
303	0.3559651069
304	0.3556365231
305	0.3552414565
306	0.3550371931
307	0.3548445283
308	0.3544636337
309	0.3542006037
310	0.353670347
311	0.3529782122
312	0.3527143464
313	0.3522731852
314	0.3520779734
315	0.3518235499
316	0.3516974265
317	0.3515126694
318	0.3511133586
319	0.3508645639
320	0.3504557386
321	0.3500872867
322	0.3498289846
323	0.3491744611
324	0.3489897638
325	0.3486755735
326	0.3482961671
327	0.3481202348
328	0.3478907924
329	0.3475024823
330	0.3473111473
331	0.3469894255
332	0.3465995517
333	0.3464775196
334	0.3462101338
335	0.3458428864
336	0.3456429834
337	0.3454251902
338	0.3452301954
339	0.3449816642
340	0.3443565729
341	0.3441825328
342	0.3439737132
343	0.3438472448
344	0.3435446377
345	0.3433455702
346	0.3431520516
347	0.3429882319
348	0.3426275887
349	0.3424368907
350	0.3422479691
351	0.342126826
352	0.3417439415
353	0.3415609752
354	0.3413763462
355	0.3411311604
356	0.3409554737
357	0.3408326
358	0.3406548211
359	0.3404741446
360	0.3403044696
361	0.3401283603
362	0.3398741046
363	0.3397119033
364	0.3395931703
365	0.3394206694
366	0.3391250321
367	0.3386569068
368	0.3380555204
369	0.337817843
370	0.3376611036
371	0.3371080996
372	0.3369047356
373	0.3365424529
374	0.3363950416
375	0.3362223312
376	0.3358526185
377	0.3357116995
378	0.3355428024
379	0.3353090538
380	0.3351732415
381	0.3349773792
382	0.3348581385
383	0.3346935675
384	0.3343293749
385	0.3342123457
386	0.334079721
387	0.3339276024
388	0.3336984835
389	0.3335717342
390	0.3334087992
391	0.3328792664
392	0.3325991505
393	0.3324854662
394	0.3321283197
395	0.3320057611
396	0.331855707
397	0.331567121
398	0.3312961428
399	0.331187142
400	0.3310700177
401	0.3307630838
402	0.3304083444
403	0.3301677356
404	0.3300570036
405	0.3298990822
406	0.3297477218
407	0.329640822
408	0.3291334228
409	0.3287845743
410	0.3286300614
411	0.3282792919
412	0.3279834706
413	0.3275053017
414	0.3272363223
415	0.3271098429
416	0.3268220435
417	0.3265479626
418	0.3261430329
419	0.3257261261
420	0.3252836989
421	0.3251620027
422	0.3250435826
423	0.3249283396
424	0.3245792761
425	0.3244671632
426	0.3242870388
427	0.3240050853
428	0.3237821831
429	0.3236343894
430	0.3232574258
431	0.3228653536
432	0.3224588582
433	0.3221892184
434	0.3220149548
435	0.3216740138
436	0.3213972645
437	0.3212887608
438	0.3210284644
439	0.3206684891
440	0.3205603391
441	0.320455105
442	0.3202875446
443	0.3201484062
444	0.3198905145
445	0.3195605213
446	0.3193880913
447	0.3192849034
448	0.3191844594
449	0.3190227196
450	0.3188560783
451	0.318538107
452	0.3182867455
453	0.3180054905
454	0.3176142284
455	0.3174564668
456	0.317144008
457	0.3169028605
458	0.3166854665
459	0.3163233823
460	0.3159786426
461	0.3157354472
462	0.3156289052
463	0.3155313584
464	0.3154364285
465	0.3152842984
466	0.31518245
467	0.3149500279
468	0.3147932101
469	0.3144290837
470	0.314282033
471	0.3140685514
472	0.3139375571
473	0.3137616508
474	0.3134720279
475	0.3131501523
476	0.3130585883
477	0.3128304198
478	0.3125216148
479	0.3124325601
480	0.312290256
481	0.3121196638
482	0.3118229839
483	0.3116610362
484	0.31157253
485	0.3114863477
486	0.3114024229
487	0.3113002958
488	0.3110737642
489	0.3109346642
490	0.3105247811
491	0.3101743289
492	0.310039029
493	0.3099095742
494	0.3096355622
495	0.3095375321
496	0.3091894838
497	0.308947598
498	0.308868012
499	0.3085754492
500	0.3084114836
501	0.3082849633
502	0.3080041084
503	0.3079080618
504	0.3077992974
505	0.3076421809
506	0.3073852858
507	0.307228948
508	0.3069025392
509	0.3066168707
510	0.3064142737
511	0.306171254
512	0.3060213611
513	0.3059412382
514	0.3056795819
515	0.3055052716
516	0.3054261646
517	0.3053491508
518	0.3050736909
519	0.3049081195
520	0.3047814366
521	0.3047058768
522	0.3046081165
523	0.3045127009
524	0.3043796471
525	0.3043047871
526	0.3041825226
527	0.3040809526
528	0.3038613465
529	0.3036093533
530	0.3034595719
531	0.3032366571
532	0.30308304
533	0.302843754
534	0.302532158
535	0.3022611116
536	0.3021435045
537	0.3017851242
538	0.3015698151
539	0.3014728364
540	0.3012116728
541	0.3009000498
542	0.3008052597
543	0.3006860111
544	0.3003614779
545	0.3000213807
546	0.2999275533
547	0.2997187863
548	0.2995291332
549	0.2994374856
550	0.2993481502
551	0.2990421985
552	0.2987751458
553	0.298659289
554	0.2985256398
555	0.2984335851
556	0.2982300623
557	0.2978655176
558	0.2977144644
559	0.2976016736
560	0.2975141289
561	0.2974288007
562	0.297202678
563	0.2970937708
564	0.2968857717
565	0.2966512085
566	0.2963414083
567	0.2962579124
568	0.2961765014
569	0.295932937
570	0.2956822942
571	0.2955143717
572	0.2954441202
573	0.2953757918
574	0.2952864895
575	0.2951648251
576	0.2950845548
577	0.2948437707
578	0.294737647
579	0.2945346133
580	0.2944390033
581	0.2942037494
582	0.2940419449
583	0.2939251031
584	0.2936666269
585	0.2934429181
586	0.2933145953
587	0.2930804458
588	0.2930013219
589	0.2927029923
590	0.2924035406
591	0.2920607139
592	0.2919561063
593	0.2917583993
594	0.2915795615
595	0.2915006715
596	0.2913729442
597	0.2912959369
598	0.2910136044
599	0.2906899156
600	0.2903988919
601	0.2903223727
602	0.2902477647
603	0.290108117
604	0.2900050829
605	0.2897689477
606	0.2895112847
607	0.2893159418
608	0.2890038852
609	0.288903785
610	0.2886742992
611	0.2885355787
612	0.2884715041
613	0.2884091663
614	0.288334461
615	0.2882419377
616	0.2881165207
617	0.2879573633
618	0.2878957487
619	0.2876151717
620	0.2875014629
621	0.2872517323
622	0.2870347877
623	0.2868425927
624	0.2866133003
625	0.2863112031
626	0.2862366097
627	0.2861379197
628	0.2860651981
629	0.2857780132
630	0.2855552372
631	0.2854313761
632	0.2852366463
633	0.2851156851
634	0.2849266874
635	0.2848313148
636	0.2846138639
637	0.2843940249
638	0.2840605704
639	0.2839886708
640	0.2839304987
641	0.283842239
642	0.2837091532
643	0.2835989891
644	0.2833909374
645	0.2832721243
646	0.2831786386
647	0.2831083953
648	0.2828396389
649	0.2825462598
650	0.2823339917
651	0.282264239
652	0.2819909193
653	0.2819227951
654	0.281670335
655	0.2815117732
656	0.2814199751
657	0.2811611614
658	0.2810554898
659	0.2808865898
660	0.2807680926
661	0.2805671265
662	0.2803592403
663	0.2802158029
664	0.2799576634
665	0.2798905354
666	0.2796953567
667	0.2794506213
668	0.2793350255
669	0.2791497394
670	0.2788894098
671	0.2787046029
672	0.2784166345
673	0.2783264609
674	0.2782596892
675	0.2781946015
676	0.2781388386
677	0.2779618833
678	0.2778983951
679	0.2776874439
680	0.2776042935
681	0.2773036435
682	0.2771988029
683	0.2771109423
684	0.2770484899
685	0.2769876077
686	0.2768287626
687	0.2766116132
688	0.2765281626
689	0.2764142698
690	0.2762205313
691	0.2761194198
692	0.2760082302
693	0.2757364145
694	0.2756510379
695	0.2754487076
696	0.2752837227
697	0.2752304645
698	0.274981451
699	0.274920346
700	0.2748607901
701	0.2747782212
702	0.2745847329
703	0.2743846468
704	0.2742016004
705	0.2741432948
706	0.2739060585
707	0.2736986573
708	0.2736414495
709	0.2734677432
710	0.2732011762
711	0.2730019969
712	0.2729050829
713	0.272824621
714	0.2727141729
715	0.2725283159
716	0.2722895683
717	0.272034825
718	0.2719788229
719	0.2717278669
720	0.271534151
721	0.2713595606
722	0.2712509493
723	0.271145378
724	0.2709665012
725	0.2707979311
726	0.2706467622
727	0.2704109034
728	0.2701498786
729	0.2700938377
730	0.2699267665
731	0.2698439442
732	0.2697892523
733	0.2695557892
734	0.2695022909
735	0.2692492675
736	0.2690859896
737	0.2689890087
738	0.2689366844
739	0.2687455332
740	0.2686411977
741	0.2685646982
742	0.2683545517
743	0.2682732391
744	0.2681801962
745	0.2681287209
746	0.2679446317
747	0.2677702696
748	0.2676686568
749	0.2674821516
750	0.2672412576
751	0.2669940801
752	0.2668343276
753	0.2667823751
754	0.2667318193
755	0.266682617
756	0.2665840456
757	0.266436413
758	0.266339648
759	0.2661710435
760	0.2660176877
761	0.2659690312
762	0.2658779733
763	0.2656401437
764	0.2654329242
765	0.2652689797
766	0.2652174334
767	0.2649904452
768	0.2647342611
769	0.2646831283
770	0.264504703
771	0.2643446915
772	0.2642947232
773	0.264148489
774	0.2639273724
775	0.2637354412
776	0.263686376
777	0.2634239144
778	0.2632272452
779	0.2631444462
780	0.2630965505
781	0.2630498555
782	0.2628328134
783	0.2627452614
784	0.2626995144
785	0.2626287261
786	0.26244062
787	0.2623598377
788	0.2622356095
789	0.2620625153
790	0.2618983619
791	0.2617225465
792	0.2615165249
793	0.2613087412
794	0.2610747647
795	0.2609962315
796	0.2608308299
797	0.2606668921
798	0.2606213378
799	0.2604226508
800	0.2603780637
801	0.2601372705
802	0.2599585646
803	0.2598026856
804	0.2596203748
805	0.259388052
806	0.2593039057
807	0.2590954338
808	0.2589973351
809	0.2589290878
810	0.2588336064
811	0.2586758889
812	0.2585063723
813	0.2584235681
814	0.2583795664
815	0.258219022
816	0.258125579
817	0.2580489417
818	0.2578857506
819	0.2577269784
820	0.2574884671
821	0.2573324925
822	0.2572416765
823	0.2571668903
824	0.2570291331
