iter	Passed	Remaining
0	147	220556
1	148	111081
2	149	74625
3	150	56303
4	151	45372
5	155	38721
6	156	33425
7	157	29375
8	158	26215
9	158	23673
10	159	21624
11	160	19904
12	161	18427
13	161	17146
14	162	16048
15	162	15082
16	163	14227
17	163	13466
18	163	12773
19	164	12148
20	164	11586
21	164	11078
22	165	10611
23	165	10196
24	166	9808
25	166	9442
26	166	9103
27	167	8788
28	167	8511
29	168	8239
30	168	7991
31	169	7762
32	169	7540
33	169	7326
34	170	7125
35	170	6940
36	170	6760
37	171	6590
38	171	6432
39	172	6282
40	172	6138
41	172	6000
42	173	5869
43	173	5744
44	173	5623
45	174	5509
46	174	5402
47	175	5300
48	175	5199
49	175	5103
50	176	5011
51	176	4920
52	177	4833
53	177	4753
54	177	4675
55	178	4599
56	178	4526
57	179	4454
58	179	4385
59	180	4329
60	181	4275
61	181	4211
62	181	4149
63	182	4092
64	182	4033
65	183	3986
66	183	3932
67	184	3878
68	184	3823
69	184	3770
70	184	3719
71	185	3669
72	185	3620
73	185	3573
74	185	3527
75	185	3484
76	186	3444
77	186	3401
78	186	3359
79	187	3319
80	187	3279
81	187	3241
82	187	3203
83	187	3166
84	188	3132
85	188	3098
86	188	3066
87	189	3033
88	189	3000
89	189	2968
90	189	2937
91	189	2906
92	190	2876
93	190	2847
94	190	2818
95	191	2793
96	191	2768
97	191	2741
98	191	2715
99	192	2689
100	192	2663
101	192	2638
102	192	2613
103	192	2589
104	193	2567
105	193	2546
106	194	2525
107	194	2504
108	194	2483
109	194	2461
110	195	2440
111	195	2419
112	195	2399
113	195	2380
114	196	2363
115	196	2344
116	196	2325
117	196	2306
118	197	2288
119	197	2270
120	197	2252
121	197	2234
122	198	2217
123	198	2207
124	199	2192
125	199	2176
126	199	2160
127	200	2144
128	200	2129
129	200	2113
130	200	2100
131	201	2086
132	201	2071
133	201	2056
134	201	2042
135	202	2027
136	202	2013
137	202	2000
138	202	1986
139	203	1973
140	203	1961
141	204	1951
142	204	1939
143	204	1926
144	205	1915
145	205	1905
146	205	1892
147	205	1880
148	206	1869
149	206	1858
150	206	1847
151	207	1836
152	207	1825
153	207	1814
154	207	1804
155	208	1795
156	208	1786
157	209	1777
158	209	1766
159	209	1756
160	210	1748
161	211	1742
162	211	1735
163	211	1726
164	212	1716
165	212	1708
166	213	1700
167	213	1692
168	213	1684
169	214	1675
170	214	1669
171	214	1659
172	215	1650
173	215	1642
174	215	1634
175	216	1624
176	216	1615
177	216	1606
178	216	1597
179	216	1588
180	216	1579
181	217	1571
182	217	1565
183	217	1557
184	217	1549
185	218	1541
186	218	1532
187	218	1524
188	218	1516
189	218	1508
190	219	1501
191	219	1493
192	219	1485
193	219	1479
194	219	1471
195	220	1464
196	220	1456
197	220	1449
198	220	1442
199	220	1434
200	220	1427
201	221	1420
202	221	1413
203	221	1407
204	221	1402
205	222	1396
206	222	1389
207	222	1382
208	222	1375
209	222	1369
210	223	1362
211	223	1356
212	223	1349
213	223	1344
214	224	1338
215	224	1333
216	224	1327
217	224	1321
218	224	1315
219	225	1309
220	225	1303
221	225	1297
222	225	1291
223	225	1286
224	226	1280
225	226	1275
226	226	1270
227	226	1264
228	226	1259
229	227	1253
230	227	1248
231	227	1243
232	227	1237
233	228	1233
234	228	1228
235	228	1224
236	228	1220
237	229	1215
238	229	1209
239	229	1204
240	229	1199
241	229	1195
242	230	1190
243	230	1185
244	230	1180
245	230	1175
246	230	1171
247	231	1166
248	231	1163
249	231	1159
250	232	1154
251	232	1149
252	232	1145
253	233	1144
254	233	1140
255	233	1136
256	234	1131
257	234	1127
258	234	1123
259	234	1118
260	234	1114
261	234	1110
262	235	1105
263	235	1101
264	235	1098
265	236	1095
266	236	1093
267	236	1089
268	237	1085
269	237	1081
270	237	1076
271	237	1072
272	237	1069
273	238	1066
274	238	1063
275	238	1059
276	239	1056
277	239	1053
278	239	1049
279	239	1045
280	240	1041
281	240	1037
282	240	1036
283	241	1033
284	241	1030
285	241	1027
286	242	1023
287	242	1019
288	242	1016
289	242	1012
290	243	1013
291	244	1010
292	244	1006
293	244	1003
294	245	1001
295	245	998
296	245	994
297	246	992
298	246	989
299	246	987
300	247	985
301	247	981
302	247	978
303	247	974
304	247	971
305	249	972
306	249	969
307	249	966
308	249	963
309	250	959
310	250	956
311	250	953
312	250	950
313	250	946
314	250	944
315	251	942
316	251	939
317	252	936
318	252	933
319	252	930
320	252	927
321	252	924
322	252	921
323	253	918
324	253	915
325	253	912
326	254	911
327	254	909
328	254	906
329	254	903
330	255	901
331	255	898
332	255	895
333	255	892
334	255	889
335	255	886
336	256	883
337	256	881
338	256	879
339	256	876
340	257	874
341	257	871
342	257	868
343	257	866
344	257	863
345	258	860
346	258	857
347	258	855
348	258	852
349	258	850
350	259	848
351	259	845
352	259	843
353	259	840
354	259	838
355	260	835
356	260	833
357	260	830
358	260	827
359	260	825
360	260	823
361	261	821
362	261	819
363	261	816
364	261	814
365	262	812
366	262	809
367	262	807
368	262	805
369	262	802
370	262	800
371	263	798
372	263	796
373	263	794
374	264	792
375	264	790
376	264	787
377	264	785
378	264	783
379	265	781
380	265	779
381	265	777
382	265	775
383	266	773
384	266	771
385	266	769
386	266	767
387	266	764
388	267	762
389	267	760
390	267	758
391	267	757
392	268	755
393	268	752
394	268	750
395	268	748
396	268	746
397	268	744
398	269	742
399	269	740
400	269	738
401	269	736
402	269	734
403	270	732
404	270	730
405	270	728
406	270	726
407	270	724
408	270	722
409	271	722
410	272	720
411	272	718
412	272	716
413	272	714
414	272	713
415	272	711
416	273	709
417	273	707
418	273	705
419	273	703
420	273	701
421	274	700
422	274	698
423	274	696
424	274	694
425	274	692
426	274	690
427	275	689
428	275	687
429	275	685
430	275	683
431	276	683
432	276	682
433	276	680
434	277	678
435	277	676
436	277	674
437	277	673
438	277	671
439	278	669
440	278	668
441	278	666
442	278	664
443	278	663
444	279	661
445	279	660
446	279	658
447	279	656
448	279	655
449	280	653
450	280	651
451	280	649
452	280	648
453	280	646
454	280	645
455	281	643
456	281	642
457	281	640
458	281	639
459	281	637
460	282	635
461	282	634
462	282	632
463	282	631
464	282	629
465	283	628
466	283	627
467	284	626
468	284	624
469	284	623
470	284	621
471	284	620
472	284	618
473	285	617
474	285	615
475	285	614
476	285	612
477	285	611
478	286	609
479	286	608
480	286	607
481	286	605
482	286	604
483	287	602
484	287	601
485	287	599
486	287	598
487	287	596
488	287	595
489	288	593
490	288	592
491	288	591
492	288	590
493	289	588
494	289	587
495	289	585
496	289	584
497	289	582
498	289	581
499	290	580
500	290	578
501	290	577
502	290	575
503	290	574
504	291	573
505	291	572
506	291	571
507	291	569
508	291	568
509	292	566
510	292	565
511	292	564
512	292	562
513	292	561
514	293	560
515	293	559
516	293	558
517	293	557
518	294	555
519	294	554
520	294	553
521	294	551
522	294	550
523	294	549
524	295	547
525	295	546
526	295	545
527	295	544
528	296	543
529	296	542
530	296	540
531	296	539
532	296	538
533	296	537
534	297	535
535	297	534
536	297	533
537	297	532
538	297	531
539	298	529
540	298	528
541	298	527
542	298	526
543	298	525
544	298	523
545	299	522
546	299	521
547	299	520
548	299	519
549	300	518
550	300	518
551	301	517
552	301	516
553	301	515
554	301	514
555	302	512
556	302	511
557	302	510
558	302	509
559	302	508
560	303	507
561	303	506
562	303	505
563	304	504
564	304	503
565	304	502
566	306	503
567	306	502
568	306	501
569	307	501
570	307	500
571	308	499
572	308	498
573	308	497
574	308	496
575	308	495
576	309	494
577	309	493
578	309	492
579	310	491
580	310	491
581	310	490
582	311	489
583	311	488
584	311	487
585	312	486
586	312	485
587	312	485
588	313	484
589	313	483
590	313	482
591	313	481
592	314	480
593	314	479
594	314	478
595	314	477
596	315	476
597	315	475
598	315	474
599	315	473
600	316	472
601	316	471
602	316	470
603	316	469
604	316	468
605	317	467
606	317	467
607	317	466
608	318	465
609	318	464
610	318	463
611	318	462
612	318	461
613	318	460
614	319	459
615	319	458
616	319	457
617	319	456
618	320	455
619	320	454
620	320	453
621	320	452
622	320	451
623	320	450
624	321	449
625	321	448
626	321	447
627	321	447
628	322	446
629	322	445
630	322	444
631	322	443
632	322	442
633	322	441
634	323	440
635	323	439
636	323	438
637	323	437
638	324	436
639	324	435
640	324	434
641	324	433
642	324	432
643	324	431
644	325	430
645	325	429
646	325	428
647	325	427
648	325	427
649	325	426
650	326	425
651	326	424
652	326	423
653	326	422
654	326	421
655	327	420
656	327	419
657	327	419
658	327	418
659	327	417
660	328	416
661	328	415
662	328	414
663	328	413
664	328	413
665	329	412
666	329	411
667	329	410
668	329	409
669	329	408
670	330	407
671	330	407
672	330	406
673	331	406
674	331	405
675	331	404
676	332	403
677	332	402
678	332	402
679	332	401
680	333	400
681	333	399
682	333	398
683	333	398
684	333	397
685	333	396
686	334	395
687	334	394
688	334	394
689	335	393
690	335	392
691	335	391
692	335	390
693	335	389
694	335	389
695	336	388
696	336	387
697	336	386
698	336	385
699	337	385
700	337	384
701	337	383
702	337	382
703	337	381
704	337	381
705	338	380
706	338	379
707	338	378
708	338	377
709	339	377
710	339	376
711	339	376
712	340	375
713	340	374
714	340	373
715	340	372
716	340	372
717	340	371
718	341	370
719	341	369
720	341	368
721	341	368
722	342	367
723	342	366
724	342	366
725	342	365
726	342	364
727	343	363
728	343	362
729	343	362
730	343	361
731	343	360
732	344	360
733	344	359
734	344	359
735	345	358
736	345	357
737	345	356
738	345	355
739	345	355
740	345	354
741	346	353
742	346	352
743	346	352
744	346	351
745	347	350
746	347	350
747	347	349
748	347	348
749	347	347
750	348	347
751	348	346
752	348	345
753	348	344
754	348	344
755	349	343
756	349	342
757	349	342
758	349	341
759	350	340
760	350	340
761	350	339
762	350	338
763	350	338
764	351	337
765	351	336
766	351	335
767	351	335
768	352	334
769	352	334
770	352	333
771	352	332
772	353	332
773	353	331
774	353	330
775	353	330
776	353	329
777	354	328
778	354	328
779	354	327
780	355	326
781	355	326
782	355	325
783	355	324
784	355	324
785	356	323
786	356	322
787	356	322
788	356	321
789	356	320
790	357	320
791	357	319
792	357	318
793	357	318
794	358	317
795	358	316
796	358	316
797	358	315
798	358	314
799	358	313
800	359	313
801	359	312
802	359	312
803	359	311
804	359	310
805	360	310
806	360	309
807	360	308
808	360	308
