iter	Passed	Remaining
0	139	209378
1	140	105344
2	141	70581
3	142	53212
4	142	42707
5	143	35754
6	144	30804
7	145	27085
8	145	24185
9	146	21865
10	147	19966
11	148	18383
12	149	17048
13	149	15907
14	150	14916
15	151	14045
16	152	13280
17	153	12610
18	154	12005
19	154	11468
20	155	10984
21	156	10535
22	157	10129
23	158	9755
24	159	9429
25	160	9099
26	161	8805
27	162	8529
28	163	8270
29	163	8030
30	164	7812
31	165	7602
32	166	7403
33	167	7215
34	167	7031
35	168	6866
36	170	6736
37	171	6588
38	172	6451
39	173	6320
40	174	6193
41	175	6076
42	176	5966
43	177	5858
44	177	5751
45	178	5646
46	179	5557
47	180	5461
48	181	5374
49	182	5291
50	183	5208
51	184	5126
52	184	5047
53	185	4973
54	186	4902
55	187	4835
56	188	4769
57	189	4706
58	190	4644
59	191	4585
60	192	4534
61	193	4480
62	194	4431
63	195	4379
64	196	4327
65	197	4280
66	197	4232
67	198	4188
68	199	4141
69	200	4097
70	201	4059
71	202	4015
72	203	3982
73	204	3942
74	205	3905
75	206	3868
76	207	3833
77	208	3797
78	209	3763
79	210	3733
80	211	3700
81	212	3667
82	212	3634
83	213	3600
84	214	3571
85	215	3542
86	216	3513
87	217	3484
88	218	3458
89	219	3431
90	219	3404
91	220	3379
92	221	3353
93	222	3327
94	222	3298
95	224	3280
96	225	3258
97	226	3237
98	227	3216
99	227	3190
100	228	3167
101	229	3146
102	230	3124
103	231	3103
104	232	3082
105	232	3060
106	234	3059
107	236	3053
108	237	3034
109	238	3009
110	238	2987
111	239	2970
112	240	2953
113	241	2936
114	242	2919
115	243	2900
116	243	2878
117	244	2858
118	244	2842
119	245	2828
120	246	2814
121	247	2797
122	248	2778
123	248	2756
124	248	2735
125	249	2715
126	249	2694
127	250	2680
128	251	2667
129	251	2654
130	252	2641
131	253	2625
132	253	2607
133	253	2589
134	254	2573
135	255	2562
136	256	2552
137	257	2541
138	258	2531
139	259	2520
140	260	2508
141	261	2497
142	262	2487
143	263	2477
144	263	2464
145	264	2449
146	264	2433
147	265	2424
148	266	2415
149	267	2406
150	268	2397
151	269	2387
152	270	2377
153	270	2367
154	271	2353
155	271	2342
156	272	2331
157	273	2321
158	274	2312
159	275	2304
160	276	2296
161	276	2287
162	277	2278
163	278	2270
164	279	2262
165	280	2251
166	281	2243
167	281	2235
168	282	2227
169	283	2216
170	284	2208
171	284	2197
172	285	2187
173	285	2176
174	286	2165
175	286	2157
176	287	2151
177	288	2144
178	289	2137
179	290	2129
180	290	2119
181	291	2108
182	292	2101
183	292	2094
184	293	2088
185	294	2081
186	295	2073
187	295	2064
188	296	2055
189	296	2046
190	297	2037
191	298	2030
192	299	2025
193	299	2019
194	300	2012
195	301	2002
196	301	1995
197	302	1988
198	303	1983
199	304	1977
200	304	1970
201	305	1964
202	306	1960
203	307	1953
204	308	1948
205	309	1942
206	310	1937
207	311	1932
208	311	1924
209	311	1916
210	312	1909
211	313	1903
212	314	1899
213	315	1894
214	316	1890
215	316	1883
216	317	1875
217	317	1868
218	318	1863
219	319	1859
220	320	1855
221	321	1850
222	322	1844
223	322	1836
224	322	1829
225	323	1823
226	324	1818
227	325	1813
228	326	1809
229	327	1806
230	328	1801
231	328	1794
232	329	1789
233	329	1784
234	330	1778
235	331	1773
236	332	1769
237	332	1764
238	333	1757
239	333	1750
240	334	1746
241	335	1741
242	335	1737
243	336	1733
244	337	1730
245	338	1724
246	338	1719
247	340	1719
248	341	1717
249	342	1713
250	343	1707
251	343	1701
252	344	1696
253	344	1690
254	345	1687
255	346	1683
256	347	1681
257	348	1677
258	349	1673
259	350	1669
260	350	1665
261	351	1662
262	352	1659
263	353	1655
264	354	1650
265	354	1646
266	355	1640
267	356	1636
268	356	1633
269	357	1629
270	358	1627
271	359	1622
272	359	1617
273	360	1612
274	361	1610
275	361	1604
276	362	1600
277	363	1597
278	364	1594
279	365	1590
280	365	1585
281	366	1581
282	367	1578
283	368	1575
284	368	1572
285	369	1570
286	370	1566
287	371	1564
288	372	1562
289	373	1560
290	375	1558
291	376	1555
292	377	1554
293	378	1551
294	378	1547
295	380	1545
296	381	1543
297	382	1541
298	383	1539
299	384	1536
300	385	1534
301	386	1531
302	386	1528
303	387	1524
304	388	1521
305	389	1518
306	389	1515
307	390	1512
308	391	1509
309	392	1507
310	393	1505
311	394	1503
312	395	1500
313	396	1497
314	397	1495
315	398	1493
316	399	1491
317	400	1488
318	401	1485
319	402	1483
320	403	1480
321	403	1477
322	404	1474
323	405	1472
324	406	1469
325	407	1467
326	408	1464
327	409	1461
328	409	1458
329	410	1456
330	411	1453
331	412	1450
332	412	1447
333	413	1444
334	414	1442
335	416	1443
336	417	1441
337	418	1439
338	419	1437
339	420	1435
340	421	1433
341	422	1430
342	423	1427
343	424	1425
344	424	1422
345	425	1418
346	426	1415
347	427	1413
348	427	1411
349	428	1408
350	429	1406
351	430	1404
352	431	1401
353	432	1399
354	433	1396
355	433	1394
356	434	1391
357	435	1389
358	436	1387
359	436	1383
360	437	1381
361	438	1379
362	439	1377
363	440	1375
364	441	1373
365	442	1371
366	443	1369
367	444	1367
368	445	1365
369	446	1363
370	447	1362
371	448	1360
372	449	1358
373	450	1355
374	450	1352
375	452	1351
376	452	1348
377	453	1346
378	454	1345
379	455	1343
380	456	1341
381	457	1339
382	458	1336
383	458	1333
384	459	1331
385	460	1330
386	461	1328
387	462	1326
388	463	1324
389	464	1322
390	465	1320
391	466	1318
392	467	1315
393	468	1314
394	469	1312
395	469	1309
396	470	1306
397	471	1304
398	472	1304
399	473	1302
400	474	1300
401	475	1298
402	476	1296
403	477	1294
404	477	1292
405	479	1290
406	480	1289
407	481	1287
408	482	1286
409	483	1284
410	484	1282
411	485	1281
412	486	1279
413	487	1278
414	488	1276
415	489	1274
416	489	1272
417	490	1270
418	491	1269
419	492	1267
420	493	1264
421	494	1263
422	495	1261
423	496	1259
424	497	1258
425	498	1256
426	499	1255
427	500	1252
428	500	1250
429	501	1248
430	502	1246
431	503	1245
432	504	1243
433	505	1241
434	506	1239
435	507	1237
436	508	1235
437	508	1233
438	509	1232
439	510	1230
440	511	1227
441	512	1227
442	514	1226
443	515	1225
444	516	1223
445	517	1221
446	517	1220
447	518	1218
448	519	1216
449	520	1214
450	521	1213
451	522	1211
452	524	1211
453	525	1210
454	526	1208
455	526	1206
456	527	1204
457	528	1202
458	529	1201
459	530	1199
460	531	1197
461	532	1195
462	532	1193
463	533	1191
464	534	1190
465	535	1189
466	536	1186
467	537	1184
468	538	1182
469	538	1181
470	539	1179
471	541	1178
472	541	1176
473	542	1174
474	543	1173
475	544	1171
476	545	1170
477	546	1168
478	547	1166
479	548	1165
480	549	1163
481	550	1161
482	550	1160
483	551	1158
484	552	1156
485	553	1154
486	554	1152
487	554	1150
488	555	1148
489	557	1148
490	557	1145
491	558	1144
492	559	1142
493	560	1141
494	561	1139
495	561	1137
496	562	1135
497	563	1133
498	563	1131
499	564	1129
500	565	1127
501	566	1125
502	567	1124
503	567	1122
504	568	1119
505	568	1116
506	569	1114
507	569	1112
508	570	1111
509	571	1109
510	572	1108
511	573	1106
512	573	1104
513	574	1101
514	575	1100
515	576	1099
516	577	1098
517	578	1096
518	579	1094
519	579	1093
520	580	1091
521	581	1090
522	582	1088
523	583	1087
524	584	1085
525	585	1083
526	586	1082
527	587	1080
528	588	1079
529	588	1077
530	590	1077
531	591	1075
532	591	1073
533	592	1071
534	593	1069
535	593	1068
536	594	1066
537	595	1064
538	595	1062
539	596	1060
540	597	1059
541	598	1057
542	599	1056
543	599	1054
544	600	1052
545	601	1050
546	602	1049
547	602	1047
548	614	1064
549	615	1063
550	616	1062
551	617	1060
552	617	1058
553	618	1055
554	618	1053
555	619	1051
556	619	1048
557	619	1046
558	620	1044
559	621	1043
560	622	1042
561	623	1040
562	624	1038
563	624	1036
564	624	1034
565	625	1032
566	626	1030
567	626	1028
568	627	1027
569	628	1025
570	629	1023
571	629	1021
572	630	1019
573	631	1018
574	632	1017
575	632	1015
576	633	1013
577	634	1012
578	635	1010
579	635	1007
580	635	1005
581	636	1003
582	636	1001
583	636	998
584	637	997
585	638	995
586	639	994
587	639	992
588	640	990
589	640	988
590	641	986
591	641	984
592	642	982
593	642	979
594	642	977
595	642	975
596	643	973
597	644	972
598	645	970
599	646	969
600	646	967
601	647	965
602	647	963
603	647	961
604	648	958
605	648	956
606	648	954
607	649	952
608	649	950
609	650	948
610	650	946
611	650	944
612	651	942
613	651	940
614	652	939
615	653	937
616	653	935
617	653	932
618	654	930
619	654	929
620	655	927
621	655	925
622	655	923
623	656	921
624	656	918
625	656	916
626	657	914
627	658	913
628	659	912
629	659	910
630	659	908
631	659	906
632	660	904
633	660	902
634	661	900
635	661	898
636	662	896
637	662	895
638	663	893
639	664	892
640	665	891
641	665	889
642	666	888
643	666	886
644	667	884
645	668	883
646	668	881
647	669	880
648	669	878
649	670	876
650	670	874
651	671	873
652	672	871
653	672	870
654	673	868
655	673	866
656	674	865
657	674	863
658	675	862
659	676	861
660	677	859
661	678	858
662	679	857
663	679	855
664	680	854
665	680	852
666	681	850
667	681	848
668	681	846
669	682	845
670	682	843
671	682	841
672	683	839
673	683	837
674	683	835
675	684	833
676	684	832
677	685	830
678	685	829
679	686	827
680	687	826
681	687	824
682	688	823
683	689	822
684	689	820
685	690	819
686	691	818
687	692	817
688	693	815
689	693	814
690	694	812
691	694	810
692	694	809
693	695	807
694	696	806
695	696	804
696	697	803
697	697	801
698	697	799
699	698	798
700	699	797
701	699	795
702	700	793
703	700	792
704	701	791
705	702	789
706	702	788
707	703	787
708	704	785
709	704	784
710	705	782
711	705	781
712	706	779
713	707	778
714	707	777
715	708	775
716	708	774
717	709	772
718	710	771
719	710	769
720	710	768
721	711	766
722	712	765
723	712	763
724	713	762
725	713	761
726	714	759
727	715	758
728	715	756
729	715	755
730	716	753
731	717	752
732	717	751
733	718	749
734	719	748
735	719	747
736	720	746
737	721	744
738	721	743
739	722	742
740	722	740
741	723	738
742	723	737
743	724	735
744	724	734
745	724	732
746	725	731
747	725	729
748	726	728
749	727	727
